price	type	garage	Bedrooms	Bathrooms	Sqft	Sqft/1000	YrBuilt	SqftxAge	std.sqft	std.age	std.sqrtxstd.age	LSqft	Acerage	View	Pool	Number	Street	City
8.2	SFR	D	3	3	1617	1.617	1966	82.467	0.005262721	0.458422878	0.002412552	10202	0.23	Y		1621	McCollum ST  	SLO
4.72	CONDO	A	2	1	1452	1.452	1988	42.108	-0.26872792	-0.39295825	0.105598853	1451	0.03	Y		2221	King CT   #24	SLO
4.93	CONDO	A	2	1	900	0.9	1985	28.8	-1.185351156	-0.276860823	0.328177297	902	0.02	Y		750	Azalea CT  	SLO
6.07	SFR	D	3	2	1156	1.156	1948	79.764	-0.760250525	1.155007436	-0.87809501	6199	0.14	N	N	39	Rafael WY  	SLO
6.4	SFR	D	4	2	2100	2.1	1976	86.1	0.807308052	0.071431456	0.05766719	9121	0.21	Y		1622	Royal WY  	SLO
6.47	SFR	D	2	2	1170	1.17	1927	105.3	-0.737002834	1.967689422	-1.45019268	4069	0.09	Y		2077	Cypress   	SLO
8.1	SFR	D	4	3	2342	2.342	1996	49.182	1.209160993	-0.702551387	-0.849497733	6408	0.15	N	N	1241	Ironbark ST  	SLO
18.3	SFR	D	4	2	3046	3.046	1938	240.634	2.378187728	1.541998858	3.667162761	7000	0.16	Y		784	Buchon ST  	SLO
7	SFR	A	3	2	1631	1.631	2003	22.834	0.028510412	-0.973445382	-0.027753329	4500	0.1	Y	N	1686	Welsh CT  	SLO
4.43	CONDO	A	2	1	1012	1.012	1988	29.348	-0.99936963	-0.39295825	0.392710541	1011	0.02	N	N	877	Nipomo ST   #F	SLO
7.57	SFR	D	3	2	1776	1.776	1953	113.664	0.269290066	0.961511726	0.258925556	6299	0.14	Y		170	Ramona DR  	SLO
4.15	CONDO	A	2	1	1256	1.256	1980	46.472	-0.594195591	-0.083365112	0.049535182	1255	0.03	Y	N	2250	King CT   #46	SLO
5.88	SFR	A	3	2	1517	1.517	1960	86.469	-0.160792213	0.690617731	-0.111045953	11500	0.26	Y	N	1257	Rich CT  	SLO
6.19	SFR	D	4	3	1484	1.484	1982	51.94	-0.215590341	-0.160763397	0.034659036	6499	0.15	Y		868	Vista Del Arroyo   	SLO
3.12	CONDO	A	2	1	900	0.9	1963	48.6	-1.185351156	0.574520304	-0.681008307	902	0.02	Y	N	1151	Laurel LN  	SLO
6.39	SFR	D	3	2	1250	1.25	1953	80	-0.604158887	0.961511726	-0.580905854	7501	0.17	Y	N	357	Christina WY  	SLO
5.05	SFR	A	3	1	1243	1.243	1980	45.991	-0.615782732	-0.083365112	0.051334797	2818	0.06	Y	N	1351	Royal WY   #6	SLO
6.34	SFR	D	3	2	1307	1.307	1978	50.973	-0.509507575	-0.005966828	0.003040144	8124	0.19	Y	N	1027	Vista Del Brisa   	SLO
6.35	SFR	D	2	1	1250	1.25	1963	67.5	-0.604158887	0.574520304	-0.347101548	4465	0.1	N	N	314	San Miguel AV  	SLO
11.35	SFR	D	4	2	3500	3.5	1999	63	3.132077129	-0.818648813	-2.564071225	9958	0.23	Y		815	Greystone PL  	SLO
5.44	CONDO	D	2	2	1783	1.783	2008	16.047	0.280913911	-1.166941093	-0.327809986	1530	0.04	Y	N	1218	Southwood DR  	SLO
7.4	SFR	D	3	2	1711	1.711	2002	25.665	0.161354359	-0.93474624	-0.15082538	5153	0.12			516	Stoneridge   	SLO
14.6	SFR	D	4	1	2466	2.466	1969	118.368	1.415069111	0.342325451	0.484414172	7105	0.16	N	N	1346	Peach   	SLO
6.5	SFR	A	4	3	2004	2.004	2005	24.048	0.647895316	-1.050843666	-0.680836689	12998	0.3	Y		580	Oakridge DR  	SLO
7.03	SFR	D	4	2	1649	1.649	1959	95.642	0.0584003	0.729316873	0.042592324	3515	0.08	N	N	1716	Singletree CT  	SLO
7.75	SFR	D	2	1	1093	1.093	1980	40.441	-0.864865133	-0.083365112	0.072099579	7619	0.17	Y	N	556	Couper   	SLO
5.3	CONDO	A	3	2	1659	1.659	2007	16.59	0.075005793	-1.128241951	-0.084624682	7349	0.17	Y	N	621	Woodbridge ST  	SLO
5.19	SFR	D	3	2	1772	1.772	1963	95.688	0.262647869	0.574520304	0.150896534	1660	0.04			3591	Sacramento DR   #31	SLO
4.89	SFR	A	3	2	1490	1.49	2016	1.49	-0.205627045	-1.47653423	0.303615371	6800	0.16	Y	N	1250	Coral ST  	SLO
5.93	SFR	D	3	2	1615	1.615	1945	116.28	0.001941622	1.271104863	0.002468005			Y	N	939	Humbert AV  	SLO
6.54	SFR	D	3	1	1173	1.173	1960	66.861	-0.732021186	0.690617731	-0.50554681	10428	0.24	Y	N	850	El Capitan WY  	SLO
3.34	CONDO	A	2	1	850	0.85	1973	37.4	-1.268378623	0.187528883	-0.237857626	6639	0.15	N	N	1620	Alrita ST  	SLO
3.6	CONDO	A	2	1	1001	1.001	1973	44.044	-1.017635673	0.187528883	-0.190836081	849	0.02	Y	N	1750	Prefumo Canyon RD   #37	SLO
7.23	SFR	D	4	2	1471	1.471	1959	85.318	-0.237177483	0.729316873	-0.17297754	1002	0.02	Y	Y	1750	Prefumo Canyon RD   #39	SLO
9.1	SFR	D	4	3	3312	3.312	1966	168.912	2.819893853	0.458422878	1.292703855	5998	0.14	Y		562	Cuesta DR  	SLO
6.2	SFR	D	3	1	1003	1.003	1953	64.192	-1.014314574	0.961511726	-0.975275356	9348	0.21	N		2747	El Cerrito ST  	SLO
7	SFR	D	4	2	1400	1.4	1959	81.2	-0.355076486	0.729316873	-0.258963272	7902	0.18	Y		144	Del Norte   	SLO
8.47	SFR	D	3	2	1941	1.941	1951	128.106	0.543280707	1.03891001	0.564419765	8398	0.19	Y	N	441	Luneta DR  	SLO
6.35	SFR	D	2	2	1051	1.051	1934	87.233	-0.934608206	1.696795427	-1.58583893	8581	0.2	Y	N	313	San Miguel AV  	SLO
12.5	SFR	D	5	2	2746	2.746	1949	186.728	1.880022926	1.116308294	2.098685186	3250	0.07	Y		730	Park AV  	SLO
5.19	SFR	D	4	2	1380	1.38	1961	77.28	-0.388287473	0.651918589	-0.253131821	14847	0.34	N	N	169	Kentucky ST  	SLO
5.71	SFR	D	2	1	830	0.83	1939	64.74	-1.30158961	1.503299716	-1.956679291	6098	0.14	N	N	1266	Madonna RD  	SLO
6	SFR	D	3	2	1412	1.412	1972	63.54	-0.335149894	0.226228025	-0.075820299	4365	0.1	Y	N	2134	Beebee ST  	SLO
7.65	SFR	D	3	1	1258	1.258	1959	72.964	-0.590874492	0.729316873	-0.430934737	5998	0.14	Y		3180	Calle Jazmin   	SLO
9.34	SFR	D	4	2	2922	2.922	1985	93.504	2.17227961	-0.276860823	-0.601419121	8398	0.19	Y	N	320	Luneta DR  	SLO
8.85	SFR	D	4	2	2391	2.391	2013	9.564	1.29052791	-1.360436803	-1.755681665	10999	0.25	N	N	2437	Cumbre CT  	SLO
5.4	SFR	A	2	2	1536	1.536	1995	33.792	-0.129241776	-0.663852245	0.085797443	5998	0.14	Y	N	245	Foothill BL  	SLO
7.64	SFR	A	4	2	1089	1.089	1953	69.696	-0.871507331	0.961511726	-0.837964518	1847	0.04	N	N	1291	Manzanita   	SLO
5.35	SFR	A	3	2	1497	1.497	1994	34.431	-0.1940032	-0.625153103	0.121281702	5998	0.14	Y		3133	Johnson AV  	SLO
6	CONDO	A	3	2	1791	1.791	1990	48.357	0.294198306	-0.470356534	-0.138378095	1498	0.03	Y	N	2903	Garibaldi AV  	SLO
6.45	SFR	A	3	2	1469	1.469	1978	57.291	-0.240498581	-0.005966828	0.001435014	1699	0.04	Y	N	1069	Pauline WY  	SLO
6.85	SFR	D	3	2	1663	1.663	1960	94.791	0.081647991	0.690617731	0.05638755	9500	0.22			1325	Descanso ST  	SLO
7.73	SFR	A	3	1	1830	1.83	1930	159.21	0.35895973	1.851591995	0.664646963	5998	0.14	N		3611	Johnson AV  	SLO
8.39	SFR	D	3	2	1700	1.7	1953	108.8	0.143088316	0.961511726	0.137581094	6050	0.14	Y	N	1651	Hillcrest PL  	SLO
4.25	CONDO	A	2	1	1265	1.265	1985	40.48	-0.579250647	-0.276860823	0.160371811	6817	0.16	Y	N	248	Chaplin   	SLO
5.25	CONDO	A	2	1	1098	1.098	1988	31.842	-0.856562387	-0.39295825	0.336593256	1263	0.03	N		1445	Prefumo Canyon RD   #20	SLO
6.6	SFR	D	3	2	1515	1.515	1972	68.175	-0.164113312	0.226228025	-0.03712703	1098	0.03	N	N	912	Bluebell WY  	SLO
8.2	SFR	D	3	2	1674	1.674	1970	78.678	0.099914033	0.303626309	0.030336529	7501	0.17	N	N	650	Woodbridge   	SLO
7.5	SFR	A	3	1	1406	1.406	1963	75.924	-0.34511319	0.574520304	-0.198274535	6525	0.15	Y	N	650	Serrano DR  	SLO
4.65	SFR	D	3	2	1471	1.471	1974	63.253	-0.237177483	0.148829741	-0.035299063	7405	0.17	Y	N	1678	Crestview CR  	SLO
3.42	CONDO	A	2	1	850	0.85	1973	37.4	-1.268378623	0.187528883	-0.237857626	1472	0.03	Y		21	Villa CT  	SLO
4.5	CONDO	A	2	2	1025	1.025	1985	32.8	-0.977782488	-0.276860823	0.270709664	850	0.02	Y		1750	Prefumo Canyon RD   #73	SLO
6.25	SFR	D	3	2	1848	1.848	1961	103.488	0.388849619	0.651918589	0.253498295	1024	0.02	Y	N	55	Stenner ST   #O	SLO
8.99	SFR	D	3	2	2277	2.277	1990	61.479	1.101225286	-0.470356534	-0.517968509	7000	0.16	Y		1737	Oceanaire DR  	SLO
9.3	SFR	D	3	1	1748	1.748	1989	48.944	0.222794685	-0.431657392	-0.096170973	8925	0.2	Y	N	2567	Flora ST  	SLO
9.7	SFR	D	3	1	1447	1.447	1950	96.949	-0.277030667	1.077609152	-0.298530782	5462	0.13	Y	N	1294	Miraleste DR  	SLO
12.44	SFR	A	4	3	2929	2.929	2016	2.929	2.183903455	-1.47653423	-3.224608206	7501	0.17	Y		1394	Andrews ST  	SLO
9.05	SFR	D	3	2	2000	2	1955	124	0.641253118	0.884113441	0.566940501	6901	0.16	Y	N	2061	Fixlini ST   #Lot13	SLO
5.88	CONDO	A	3	3	1879	1.879	2016	1.879	0.440326648	-1.47653423	-0.650157368	6700	0.15			216	Albert DR  	SLO
5.35	CONDO	A	3	2	1542	1.542	2007	15.42	-0.11927848	-1.128241951	0.134574985	2228	0.05	N	N	840	Basil LN  	SLO
6.1	SFR	D	4	2	1736	1.736	1961	97.216	0.202868092	0.651918589	0.13225348	1542	0.04	N		3591	Sacramento DR   #17	SLO
7.99	SFR	A	4	3	1881	1.881	1949	127.908	0.443647747	1.116308294	0.49524766	6399	0.15	Y		1162	Seaward ST  	SLO
5.25	SFR	A	2	2	1223	1.223	2012	6.115	-0.648993719	-1.321737661	0.85779944	6826	0.16	Y	N	2045	Slack ST  	SLO
6.65	SFR	D	4	2	1420	1.42	1968	69.58	-0.321865499	0.381024593	-0.122638671	2875	0.07	Y		3317	Rockview PL  	SLO
3.45	CONDO	A	2	1	850	0.85	1973	37.4	-1.268378623	0.187528883	-0.237857626	8442	0.19	Y		3478	Sequoia DR  	SLO
5.45	SFR	A	3	2	1497	1.497	1999	26.946	-0.1940032	-0.818648813	0.158820489	850	0.02	Y		1750	Prefumo Canyon RD   #1	SLO
6.55	SFR	D	2	1	1242	1.242	1927	111.78	-0.617443282	1.967689422	-1.214936614	1350	0.03	Y	N	819	Lawrence DR  	SLO
7.07	SFR	D	4	2	1384	1.384	1964	73.352	-0.381645275	0.535821162	-0.204493615	5001	0.11	Y	N	683	Pismo ST  	SLO
7.95	SFR	D	3	2	2197	2.197	2003	30.758	0.968381338	-0.973445382	-0.942666341	7613	0.17	Y	N	30	Verde DR  	SLO
9.61	SFR	A	4	2	3322	3.322	1961	186.032	2.836499346	0.651918589	1.84916665	6050	0.14	N	N	1741	Singletree CT  	SLO
4.91	CONDO	A	2	2	1218	1.218	1986	37.758	-0.657296466	-0.315559965	0.20741645	10402	0.24	Y		6079	Joan PL  	SLO
6.56	SFR	D	2	1	1196	1.196	1941	90.896	-0.693828551	1.425901432	-0.989331124	1220	0.03	Y			Foothill BL   #27	SLO
5.45	CONDO	D	4	2	1742	1.742	1976	71.422	0.212831388	0.071431456	0.015202856	8481	0.19	Y	N	150	Cerro Romauldo Av   	SLO
6.12	SFR	D	3	2	1440	1.44	1951	95.04	-0.288654512	1.03891001	-0.299886062	4097	0.09	Y	N	78	Encanto LN  	SLO
9.99	SFR	D	4	3	1844	1.844	1959	106.952	0.382207421	0.729316873	0.278750321	6599	0.15	Y		237	La Canada   	SLO
3.93	CONDO	A	2	0	1436	1.436	1982	50.26	-0.29529671	-0.160763397	0.047472902	6752	0.16	Y		2042	Hays ST  	SLO
8.35	SFR	A	3	2	2766	2.766	1987	82.98	1.913233913	-0.354259107	-0.677780538	1437	0.03	Y	N	3340	Rockview PL   #1	SLO
3.2	CONDO	A	1	1	774	0.774	1985	24.768	-1.394580373	-0.276860823	0.38610467	5998	0.14	Y	N	411	Woodbridge   	SLO
8.8	SFR	D	4	2	2218	2.218	1891	279.468	1.003252874	3.360858539	3.371790989	480	0.01	Y	N	579	Highland DR   #2	SLO
5.43	CONDO	A	3	2	1659	1.659	2006	18.249	0.075005793	-1.089542808	-0.081722022	5201	0.12	N	N	676	Pismo ST  	SLO
5.59	SFR	D	3	1	1003	1.003	1953	64.192	-1.014314574	0.961511726	-0.975275356	1660	0.04	Y	N	3591	Sacramento DR   #13	SLO
4.75	CONDO	A	2	2	1369	1.369	1982	47.915	-0.406553515	-0.160763397	0.065358924	6351	0.15	Y	N	113	Foothill BL  	SLO
4.84	CONDO	A	2	2	1369	1.369	1981	49.284	-0.406553515	-0.122064255	0.049625652	1368	0.03	Y		1106	Oceanaire    #18	SLO
5.62	SFR	D	3	1	1040	1.04	1953	66.56	-0.952874248	0.961511726	-0.916199763	1369	0.03			1106	Oceanaire DR   #30	SLO
6.15	SFR	D	3	2	1150	1.15	1961	64.4	-0.770213821	0.651918589	-0.502116707	6399	0.15	Y	N	93	Foothill BL  	SLO
6.55	SFR	D	4	2	1700	1.7	1950	113.9	0.143088316	1.077609152	0.154193279	6090	0.14	Y		1327	Fernwood DR  	SLO
7.8	SFR	D	3	1	1112	1.112	1890	141.224	-0.833314696	3.399557681	-2.832901376	6459	0.15	Y	N	835	Mission ST  	SLO
6.27	SFR	A	3	2	1156	1.156	1988	33.524	-0.760250525	-0.39295825	0.298746716	7858	0.18	N	N	671	Pismo ST  	SLO
5.58	CONDO	A	2	2	1536	1.536	1995	33.792	-0.129241776	-0.663852245	0.085797443	6011	0.14	Y		1168	Poppy   	SLO
5.96	SFR	D	3	2	1218	1.218	1961	68.208	-0.657296466	0.651918589	-0.428503784	1664	0.04	Y	N	1270	Manzanita WY  	SLO
8.2	SFR	D	4	3	2160	2.16	1989	60.48	0.906941013	-0.431657392	-0.391487792	6100	0.14	N	N	1131	Atascadero ST  	SLO
8.69	SFR	D	3	2	1925	1.925	1952	125.125	0.516711918	1.000210868	0.516820876	6240	0.14	N	N	1474	Boxwood CT  	SLO
4.4	SFR	A	2	2	1047	1.047	1980	38.739	-0.941250403	-0.083365112	0.078467446	6100	0.14	Y		783	Murray AV  	SLO
5.26	SFR	D	3	1	1040	1.04	1963	56.16	-0.952874248	0.574520304	-0.547445603	2175	0.05	Y	N	1351	Royal WY   #29	SLO
2.59	CONDO	A	1	1	835	0.835	2007	8.35	-1.293286863	-1.128241951	1.459140493	5400	0.12	Y	N	11810	Los Osos Valley Road   	SLO
7.95	SFR	D	4	2	2031	2.031	2003	28.434	0.692730148	-0.973445382	-0.674334963	495	0.01	Y	N	1075	Ella ST   #3	SLO
4.87	SFR	D	3	2	1293	1.293	1976	53.013	-0.532755265	0.071431456	-0.038055484	4500	0.1	Y	N	1671	Welsh CT  	SLO
5.3	SFR	D	2	1	900	0.9	1960	51.3	-1.185351156	0.690617731	-0.818624525	3120	0.07	N	N	48	Los Palos DR  	SLO
6.3	SFR	A	2	1	1215	1.215	1951	80.19	-0.662278114	1.03891001	-0.688047362	5776	0.13	Y	N	1282	Reba ST  	SLO
7.5	SFR	D	3	2	1766	1.766	1993	42.384	0.252684573	-0.58645396	-0.148187869	10127	0.23	N	N	518	Ellen WY  	SLO
8	SFR	A	4	2	1534	1.534	1951	101.244	-0.132562874	1.03891001	-0.137720897	6595	0.15	Y	N	1153	Rosemary CT  	SLO
8.35	SFR	D	4	1	2125	2.125	1958	125.375	0.848821786	0.768016015	0.651908726	5998	0.14	N	N	1908	Loomis   	SLO
3.25	CONDO	A	2	2	966	0.966	1987	28.98	-1.0757549	-0.354259107	0.381095971	7110	0.16	Y	N	1726	Viewmont ST  	SLO
3.9	CONDO	A	2	1	1436	1.436	1982	50.26	-0.29529671	-0.160763397	0.047472902	967	0.02	Y	N	1029	Southwood DR   #M	SLO
4.5	CONDO	A	2	2	1050	1.05	1985	33.6	-0.936268755	-0.276860823	0.259216138	1437	0.03	Y	N	3340	Rockview PL   #4	SLO
5.15	CONDO	A	2	2	1058	1.058	1986	32.798	-0.92298436	-0.315559965	0.291256913	1050	0.02	Y	N	85	Stenner ST   #F	SLO
6.55	CONDO	A	1	1	840	0.84	2014	2.52	-1.284984116	-1.399135946	1.797867466	1058	0.02	Y	N	955	Felicia WY   #6	SLO
9.91	SFR	D	4	2	1704	1.704	1949	115.872	0.149730514	1.116308294	0.167145415	1407	0.03	Y	N	1327	Garden ST  	SLO
4	CONDO	A	2	1	1029	1.029	1991	26.754	-0.971140291	-0.509055676	0.494364477	7475	0.17	N	N	258	Chorro ST  	SLO
7.27	SFR	D	3	2	2076	2.076	2014	6.228	0.767454868	-1.399135946	-1.073773692	1424	0.03	Y	N	2972	Rockview   	SLO
9.3	SFR	D	4	2	2709	2.709	1989	75.852	1.8185826	-0.431657392	-0.785004622	3999	0.09	Y		329	Sage   	SLO
3.88	CONDO	D	2	2	984	0.984	1981	35.424	-1.045865011	-0.122064255	0.127662733	15500	0.36	Y	N	534	Hill ST  	SLO
4.17	CONDO	A	2	2	1200	1.2	2007	12	-0.687186354	-1.128241951	0.775312472	1000	0.02	Y	N	2872	Los Feliz CT  	SLO
4.85	CONDO	A	3	2	1552	1.552	1979	58.976	-0.102672986	-0.04466597	0.004585989	1200	0.03	Y		3594	Broad ST   #204	SLO
7.2	SFR	D	3	2	1408	1.408	1938	111.232	-0.341792091	1.541998858	-0.527043014	1742	0.04	Y	N	1360	Laurel LN   #5	SLO
7.3	SFR	D	4	3	1782	1.782	1959	103.356	0.279253362	0.729316873	0.203664189	4500	0.1	N	N	2120	Story ST  	SLO
12.65	SFR	D	4	1	2100	2.1	1959	121.8	0.807308052	0.729316873	0.588783384	7500	0.17	Y	N	649	Stanford DR  	SLO
4.9	SFR	D	3	1	1316	1.316	1960	75.012	-0.49456263	0.690617731	-0.341553721	10019	0.23	Y	N	1730	San Luis Drive   	SLO
5.44	SFR	A	3	2	1497	1.497	2000	25.449	-0.1940032	-0.857347955	0.166328247	6974	0.16	N	N	1318	Richard   	SLO
8.5	SFR	D	5	3	2342	2.342	1996	49.182	1.209160993	-0.702551387	-0.849497733	1416	0.03	Y		2868	Victoria AV  	SLO
5.52	CONDO	A	3	2	1675	1.675	2013	6.7	0.101574583	-1.360436803	-0.138185801	6151	0.14	Y	N	1273	Sumac CT  	SLO
6.7	SFR	D	3	1	1176	1.176	1964	62.328	-0.727039538	0.535821162	-0.38956317	2150	0.05	Y		826	Lawrence DR  	SLO
9.37	SFR	A	4	2	2489	2.489	1993	59.736	1.453261746	-0.58645396	-0.852271106	6499	0.15	Y		68	Verde DR  	SLO
3.25	CONDO	A	2	1	860	0.86	1973	37.84	-1.25177313	0.187528883	-0.234743616	9500	0.22	Y		1325	Rubio LN  	SLO
5.4	CONDO	A	3	2	1675	1.675	2014	5.025	0.101574583	-1.399135946	-0.14211665	858	0.02	Y	N	1750	Prefumo Canyon RD   #33	SLO
5.65	SFR	D	4	1	1600	1.6	1955	99.2	-0.022966618	0.884113441	-0.020305096	2027	0.05	Y		876	Lawrence DR  	SLO
6.3	SFR	D	3	2	1340	1.34	2001	21.44	-0.454709446	-0.896047098	0.407441079	8825	0.2	Y		1224	Sylvia CT  	SLO
7.61	SFR	D	3	1	1620	1.62	1951	106.92	0.010244369	1.03891001	0.010642978	6027	0.14	Y	N	867	El Capitan WY  	SLO
8.05	SFR	D	3	2	2035	2.035	2001	32.56	0.699372345	-0.896047098	-0.62667056	7300	0.17	Y		391	Tolosa WY  	SLO
10	SFR	D	5	3	2914	2.914	2001	46.624	2.158995215	-0.896047098	-1.934561396	6227	0.14	Y	N	524	Mason WY  	SLO
4.95	TWNHS	A	3	1	1550	1.55	1982	54.25	-0.105994085	-0.160763397	0.017039969	10920	0.25	Y	N	963	Goldenrod LN  	SLO
8.3	SFR	D	4	2	2270	2.27	1992	56.75	1.08960144	-0.547754818	-0.596834439	0		Y	N	1106	Oceanaire DR   #36	SLO
5.55	SFR	D	2	1	684	0.684	1941	51.984	-1.544029813	1.425901432	-2.201634321	6249	0.14	Y		4456	Poinsettia ST  	SLO
5.28	SFR	D	4	2	1587	1.587	1974	68.241	-0.044553759	0.148829741	-0.006630924	2500	0.06	Y		312	Sandercock ST  	SLO
7.99	SFR	D	4	2	1950	1.95	1950	130.65	0.558225651	1.077609152	0.601549071	4550	0.1	Y	N	67	Linda LN  	SLO
10.89	SFR	D	3	3	1964	1.964	1961	109.984	0.581473342	0.651918589	0.37907328	6300	0.14	Y	N		Tassajara DR  	SLO
18.75	SFR	D	5	5	3726	3.726	1977	149.04	3.507361279	0.032732314	0.114804051	9582	0.22	Y		18	Hathway AV  	SLO
3.25	CONDO	A	2	2	966	0.966	1987	28.98	-1.0757549	-0.354259107	0.381095971	217800	5	Y	N	6060	Los Ranchos RD  	SLO
3.44	CONDO	A	2	2	966	0.966	1987	28.98	-1.0757549	-0.354259107	0.381095971	966	0.02	Y	N	1033	Southwood DR   #K	SLO
4.4	SFR	A	3	2	1614	1.614	2006	17.754	0.000281073	-1.089542808	-0.000306241	967	0.02	Y	N	1035	Southwood DR   #F	SLO
3.8	CONDO	A	2	1	1125	1.125	1980	41.625	-0.811727554	-0.083365112	0.067669759			Y		647	Paseo Bella Montana    #A	SLO
5.03	CONDO	A	2	2	1238	1.238	1986	38.378	-0.624085479	-0.315559965	0.196936392	1125	0.03	Y		11295	Los Osos Valley RD   #22	SLO
7.19	SFR	D	3	2	2076	2.076	2015	4.152	0.767454868	-1.437835088	-1.103473537	1238	0.03	Y	N		Foothill BL   #15	SLO
7.5	SFR	A	4	2	1959	1.959	2003	27.426	0.573170595	-0.973445382	-0.557950269	5440	0.12	Y	N	3249	Cherry LN  	SLO
5.01	TWNHS	NA	3	2	1565	1.565	1988	45.385	-0.081085845	-0.39295825	0.031863352	4500	0.1	Y	N	1712	Foreman CT  	SLO
