Year	winner	Surface	condition	Starters	PolePosition	Time
2001	Monarchos	dirt	fast	17	16	119.97
2002	WarEmblem	dirt	fast	18	5	121.03
2003	FunnyCide	dirt	fast	16	5	121.32
2004	SmartyJones	dirt	sloppy	18	13	124.1
2005	Giacomo	dirt	fast	20	10	122.45
2006	Barbado	dirt	fast	20	8	121.36
2007	StreetSense	dirt	fast	20	7	122.17
2008	BigBrown	dirt	fast	20	20	121.82
2009	MindThatBird	dirt	sloppy	19	8	122.66
2010	SuperSaver	dirt	sloppy	20	4	124.45
2011	AnimalKingdom	dirt	fast	20	16	122.04
2012	I'llHaveAnother	dirt	fast	20	19	121.83
2013	Orb	dirt	sloppy	19	16	122.89
2014	CaliforniaChrome	dirt	fast	19	5	123.66
2015	AmericanPharoh	dirt	fast	18	18	123.02
2016	Nyquist	dirt	fast	20	13	121.31
2017	Always Dreaming	dirt	wet fast	20	5	123.98
2018	Justify	dirt	sloppy	20	7	124.1
