Rating	HurrGender	Participant
4.5	female	36
5	female	36
4	male	36
6.5	male	36
5	female	36
6.5	female	36
2	male	36
3.5	male	37
5	female	37
6	male	37
5	female	37
5	female	37
4	male	37
3	male	37
5	female	37
6	female	37
5	male	37
2.5	male	38
1.5	female	38
4	male	38
4	female	38
5	female	38
6.5	male	38
2	male	38
6.5	female	38
6	female	38
4	male	38
1	male	39
4	female	39
2	male	39
3	female	39
3.5	female	39
5	male	39
6	male	39
5.5	female	39
4	female	39
2.5	male	39
5	male	40
4	female	40
2	male	40
6	female	40
6	female	40
7	male	40
5	male	40
6	female	40
4	female	40
3	male	40
5	male	41
6	female	41
5	male	41
6	female	41
5	female	41
6	male	41
4	male	41
6	female	41
6	female	41
5	male	41
5	male	42
5.5	female	42
5.5	male	42
6	female	42
5.5	female	42
2.5	male	42
5	male	42
6	female	42
5	female	42
5	male	42
1.5	male	43
3	female	43
2.5	male	43
6.5	female	43
2.5	female	43
5	male	43
3	male	43
4	female	43
2	female	43
2	male	43
3	male	44
4	female	44
2	male	44
6	female	44
1	female	44
5.5	male	44
1.5	male	44
4	female	44
5	female	44
4	male	44
2	male	45
4	female	45
4	male	45
4	female	45
5	female	45
4	male	45
5	male	45
4	female	45
5	female	45
3	male	45
5	male	46
4	female	46
3	male	46
5	female	46
5	female	46
5	male	46
4	male	46
4	female	46
5.5	female	46
3	male	46
5	male	47
6	female	47
1	male	47
5	female	47
6	female	47
4	male	47
3.5	male	47
2	female	47
3	female	47
4.5	male	47
2	male	48
7	female	48
7	male	48
4	female	48
2	female	48
3	male	48
3	male	48
4	female	48
5	female	48
4	male	48
2	male	49
4	female	49
6	male	49
7	female	49
1.5	female	49
2.5	male	49
4.5	male	49
6	female	49
2.5	female	49
2.5	male	49
5	male	50
4	female	50
7	male	50
5	female	50
6	female	50
3	male	50
1	male	50
6	female	50
2	female	50
3.5	male	50
2	male	51
6	female	51
2	male	51
4	female	51
4	female	51
7	male	51
5	male	51
7	female	51
5	female	51
7	male	51
4	male	52
4	female	52
3	male	52
5	female	52
5	female	52
4	male	52
5	male	52
4	female	52
5	female	52
4	male	52
6	male	53
4	female	53
4	male	53
3	female	53
6	female	53
4	male	53
3	male	53
7	female	53
5	female	53
5	male	53
6	male	54
6	female	54
5	male	54
6	female	54
5	female	54
5	male	54
5	male	54
6	female	54
6.5	female	54
6	male	54
1	male	55
2	female	55
3	male	55
3	female	55
5	female	55
2	male	55
6	male	55
3	female	55
4	female	55
3	male	55
2	male	56
3.5	female	56
5	male	56
5.5	female	56
3	female	56
6	male	56
6.5	male	56
6	female	56
6.5	female	56
3	male	56
5	male	57
5.5	female	57
5.5	male	57
5.5	female	57
6	female	57
3.5	male	57
3	male	57
4	female	57
3.5	female	57
5	male	57
4	male	58
2	female	58
3	male	58
4.5	female	58
4	female	58
5	male	58
2	male	58
4	female	58
5	female	58
3	male	58
1.5	male	59
6.5	female	59
3.5	male	59
2	female	59
4.5	female	59
3.5	male	59
5.5	male	59
5	female	59
3.5	female	59
5	male	59
6	male	60
6	female	60
6	male	60
6	female	60
6	female	60
4.5	male	60
5	male	60
6	female	60
6	female	60
6	male	60
5	male	61
4	female	61
3	male	61
7	female	61
6	female	61
1	male	61
6	male	61
2	female	61
3	female	61
5	male	61
4	male	62
5	female	62
3	male	62
6	female	62
5	female	62
6	male	62
5	male	62
5	female	62
6	female	62
7	male	62
2	male	63
7	female	63
4	male	63
2	female	63
5	female	63
6	male	63
3	male	63
4	female	63
4	female	63
5	male	63
4	male	64
5	female	64
4	male	64
4	female	64
1	female	64
4	male	64
4	male	64
7	female	64
4	female	64
3	male	64
4	male	65
5	female	65
5	male	65
3	female	65
4	female	65
3	male	65
5	male	65
5	female	65
4	female	65
2	male	65
4	male	66
4	female	66
4	male	66
4	female	66
4	female	66
4	male	66
4	male	66
4	female	66
6	female	66
4	male	66
4	male	67
4	female	67
4	male	67
4	female	67
4	female	67
4	male	67
4	male	67
6	female	67
4	female	67
4	male	67
3	male	68
5	female	68
5	male	68
4	female	68
3	female	68
3	male	68
3	male	68
3	female	68
3	female	68
2	male	68
6	male	69
5	female	69
2	male	69
7	female	69
3	female	69
7	male	69
6	male	69
2	female	69
7	female	69
1	male	69
2	male	70
2	female	70
3.5	male	70
4.5	female	70
4.5	female	70
4	male	70
4	male	70
1.5	female	70
6.5	female	70
5	male	70
5.5	male	71
6	female	71
3.5	male	71
3.5	female	71
4.5	female	71
5.5	male	71
4.5	male	71
6.5	female	71
4.5	female	71
4	male	71
6	male	72
7	female	72
2	male	72
3.5	female	72
6	female	72
4.5	male	72
6.5	male	72
4.5	female	72
4.5	female	72
5.5	male	72
4	male	73
5.5	female	73
4	male	73
5	female	73
3	female	73
4	male	73
5	male	73
6	female	73
5	female	73
6	male	73
2.5	male	74
4	female	74
2.5	male	74
3.5	female	74
2.5	female	74
3	male	74
3.5	male	74
3	female	74
2.5	female	74
3	male	74
7	male	75
6	female	75
6	male	75
6	female	75
6	female	75
4	male	75
3.5	male	75
4	female	75
3	female	75
2.5	male	75
2	male	76
6	female	76
5	male	76
3.5	female	76
3	female	76
4.5	male	76
5	male	76
4	female	76
5	female	76
3	male	76
4	male	77
4	female	77
3.5	male	77
4	female	77
3	female	77
3	male	77
3	male	77
3	female	77
4	female	77
3	male	77
4.5	male	78
5.5	female	78
3.5	male	78
4.5	female	78
3	female	78
4.5	male	78
3.5	male	78
3.5	female	78
5.5	female	78
4	male	78
5	male	79
6	female	79
5	male	79
6	female	79
6	female	79
5	male	79
5	male	79
5	female	79
5	female	79
6	male	79
5	male	80
6	female	80
5	male	80
5	female	80
6	female	80
5	male	80
7	male	80
6	female	80
7	female	80
6	male	80
3	male	81
3	female	81
3	male	81
3.5	female	81
4	female	81
3.5	male	81
5.5	male	81
6	female	81
4	female	81
4.5	male	81
5	male	82
5	female	82
6	male	82
6	female	82
6	female	82
5	male	82
7	male	82
6	female	82
7	female	82
5.5	male	82
2	male	83
5	female	83
1	male	83
1.5	female	83
1	female	83
7	male	83
1	male	83
4	female	83
5.5	female	83
4	male	83
5	male	84
5	female	84
3	male	84
5	female	84
6	female	84
5	male	84
4	male	84
3.5	female	84
4	female	84
5	male	84
3	male	85
7	female	85
1	male	85
4	female	85
5	female	85
4	male	85
7	male	85
2.5	female	85
2	female	85
5	male	85
4	male	86
2	female	86
3	male	86
3	female	86
4	female	86
2	male	86
5	male	86
6	female	86
5	female	86
5	male	86
5.5	male	87
5	female	87
4	male	87
5	female	87
7	female	87
3.5	male	87
4	male	87
2.5	female	87
2.5	female	87
4.5	male	87
5	male	88
6	female	88
2	male	88
4	female	88
2	female	88
4	male	88
3	male	88
1	female	88
7	female	88
5	male	88
3	male	89
4	female	89
3	male	89
4	female	89
4	female	89
6	male	89
6	male	89
7	female	89
5	female	89
5	male	89
3	male	90
4	female	90
4	male	90
2	female	90
6	female	90
5	male	90
3	male	90
4	female	90
5	female	90
5	male	90
5	male	91
5	female	91
6	male	91
6	female	91
4	female	91
3	male	91
5	male	91
5	female	91
5.5	female	91
5	male	91
4	male	92
4	female	92
4	male	92
4	female	92
4	female	92
4	male	92
3	male	92
4	female	92
4	female	92
4	male	92
1.5	male	93
6	female	93
1.5	male	93
2.5	female	93
2.5	female	93
4.5	male	93
2	male	93
1	female	93
2.5	female	93
3.5	male	93
3	male	94
4	female	94
6	male	94
4	female	94
1	female	94
2	male	94
2	male	94
3	female	94
5	female	94
3	male	94
3.5	male	95
5.5	female	95
6	male	95
2.5	female	95
6	female	95
4.5	male	95
2.5	male	95
5	female	95
4	female	95
5	male	95
5.5	male	96
6	female	96
3.5	male	96
5	female	96
3	female	96
4.5	male	96
3	male	96
2	female	96
3.5	female	96
2.5	male	96
5	male	97
5	female	97
5	male	97
5	female	97
5	female	97
5	male	97
4.5	male	97
5	female	97
5	female	97
5	male	97
4	male	98
4	female	98
4	male	98
4	female	98
4	female	98
4	male	98
4	male	98
5	female	98
4	female	98
4	male	98
4	male	99
4.5	female	99
3.5	male	99
6.5	female	99
3	female	99
6	male	99
5	male	99
5	female	99
1.5	female	99
2	male	99
1	male	100
2	female	100
2	male	100
1	female	100
4	female	100
5.5	male	100
5	male	100
4	female	100
7	female	100
3.5	male	100
3.5	male	101
4	female	101
3.5	male	101
5	female	101
1.5	female	101
2.5	male	101
3	male	101
2.5	female	101
1.5	female	101
2.5	male	101
4.5	male	102
6.5	female	102
5.5	male	102
4	female	102
5.5	female	102
4.5	male	102
6.5	male	102
5	female	102
6	female	102
5	male	102
5	male	103
5	female	103
5	male	103
6	female	103
5	female	103
5	male	103
6	male	103
5	female	103
5	female	103
5	male	103
4	male	104
4	female	104
1.5	male	104
2	female	104
4	female	104
3	male	104
5.5	male	104
5.5	female	104
3.5	female	104
4.5	male	104
5	male	105
4.5	female	105
4.5	male	105
5	female	105
4.5	female	105
4.5	male	105
4.5	male	105
4.5	female	105
4.5	female	105
4.5	male	105
2	male	106
1.5	female	106
2	male	106
2	female	106
2	female	106
1	male	106
1	male	106
1	female	106
1	female	106
1	male	106
4	male	107
4.5	female	107
4	male	107
4	female	107
4	female	107
4	male	107
4	male	107
4	female	107
4	female	107
4	male	107
4	male	108
4	female	108
4	male	108
4.5	female	108
4	female	108
4	male	108
4	male	108
4	female	108
4	female	108
4	male	108
6	male	109
6	female	109
6	male	109
6	female	109
6	female	109
6	male	109
6	male	109
6	female	109
6	female	109
6	male	109
2	male	110
6.5	female	110
5	male	110
1.5	female	110
1.5	female	110
3	male	110
2.5	male	110
2.5	female	110
3.5	female	110
2.5	male	110
4	male	111
2.5	female	111
2	male	111
2	female	111
3.5	female	111
6	male	111
3.5	male	111
5	female	111
5	female	111
3	male	111
4.5	male	112
4.5	female	112
4.5	male	112
5.5	female	112
3	female	112
4.5	male	112
5	male	112
4	female	112
5.5	female	112
4.5	male	112
3	male	113
5	female	113
3	male	113
4	female	113
3.5	female	113
5.5	male	113
5	male	113
4.5	female	113
5	female	113
5	male	113
6	male	114
6	female	114
6	male	114
6	female	114
6	female	114
6	male	114
6	male	114
6	female	114
6	female	114
6	male	114
4	male	115
4	female	115
4	male	115
4	female	115
4	female	115
4	male	115
4	male	115
4	female	115
4	female	115
4	male	115
2	male	116
4	female	116
2	male	116
2	female	116
3	female	116
4	male	116
4	male	116
4	female	116
3	female	116
4	male	116
4.5	male	117
4.5	female	117
5	male	117
5	female	117
4.5	female	117
4.5	male	117
5	male	117
4.5	female	117
5	female	117
4.5	male	117
6	male	118
6	female	118
6	male	118
6	female	118
6	female	118
6	male	118
6	male	118
6	female	118
6	female	118
6	male	118
5	male	119
5	female	119
4	male	119
6	female	119
5	female	119
5	male	119
6	male	119
5	female	119
5	female	119
5.5	male	119
4	male	120
4	female	120
4	male	120
4	female	120
4	female	120
4	male	120
4	male	120
4	female	120
4	female	120
4	male	120
5.5	male	121
5.5	female	121
5.5	male	121
5.5	female	121
5.5	female	121
5.5	male	121
5.5	male	121
5.5	female	121
5.5	female	121
5.5	male	121
5	male	122
5	female	122
5	male	122
5	female	122
5	female	122
5	male	122
5	male	122
5	female	122
5	female	122
5	male	122
4	male	123
4	female	123
4	male	123
4	female	123
4	female	123
4	male	123
4	male	123
4	female	123
4	female	123
4	male	123
4	male	124
4.5	female	124
4.5	male	124
4.5	female	124
4.5	female	124
5	male	124
5	male	124
4.5	female	124
4.5	female	124
4.5	male	124
5	male	125
6	female	125
7	male	125
5	female	125
6	female	125
5.5	male	125
7	male	125
7	female	125
7	female	125
5.5	male	125
4	male	126
4	female	126
4	male	126
4	female	126
4	female	126
4	male	126
4	male	126
4	female	126
4	female	126
4	male	126
5	male	127
5	female	127
5	male	127
5	female	127
5	female	127
5	male	127
5	male	127
5	female	127
5	female	127
5	male	127
4	male	128
7	female	128
3	male	128
5	female	128
4	female	128
7	male	128
6	male	128
4	female	128
5	female	128
5	male	128
3	male	129
6.5	female	129
4	male	129
4	female	129
4	female	129
4.5	male	129
3	male	129
1	female	129
2	female	129
3	male	129
3	male	130
3	female	130
3	male	130
3	female	130
3	female	130
3	male	130
3	male	130
3	female	130
3	female	130
3	male	130
4	male	131
4	female	131
4	male	131
4	female	131
4	female	131
4	male	131
4	male	131
4	female	131
4	female	131
4	male	131
5	male	132
5	female	132
5	male	132
5	female	132
5	female	132
5	male	132
5	male	132
5	female	132
5	female	132
5	male	132
5.5	male	133
2.5	female	133
3.5	male	133
5	female	133
4.5	female	133
6	male	133
4.5	male	133
5	female	133
3	female	133
1.5	male	133
4	male	134
5	female	134
4	male	134
3	female	134
5	female	134
5	male	134
5	male	134
4	female	134
5	female	134
4	male	134
6	male	135
6	female	135
6	male	135
6	female	135
6	female	135
6	male	135
6	male	135
6	female	135
6	female	135
6	male	135
6	male	136
6	female	136
6	male	136
6	female	136
6	female	136
6	male	136
6	male	136
6	female	136
6	female	136
6	male	136
4	male	137
5	female	137
4	male	137
5	female	137
3	female	137
5	male	137
4	male	137
3	female	137
4	female	137
3	male	137
4	male	138
4	female	138
4	male	138
4	female	138
4	female	138
4	male	138
4	male	138
4	female	138
4	female	138
4	male	138
4	male	139
3	female	139
4	male	139
4	female	139
3	female	139
3	male	139
3	male	139
4	female	139
3	female	139
3	male	139
4	male	140
4	female	140
4	male	140
4	female	140
4	female	140
4	male	140
4	male	140
4	female	140
4	female	140
4	male	140
6	male	141
6	female	141
6	male	141
6	female	141
6	female	141
6	male	141
6	male	141
5	female	141
6	female	141
5	male	141
3.5	male	142
4.5	female	142
5.5	male	142
1	female	142
6	female	142
2	male	142
4	male	142
3	female	142
4.5	female	142
5	male	142
4	male	143
4	female	143
4	male	143
3.5	female	143
4	female	143
4	male	143
4	male	143
4	female	143
4	female	143
4	male	143
4.5	male	144
4.5	female	144
4.5	male	144
4.5	female	144
4.5	female	144
4.5	male	144
4.5	male	144
4.5	female	144
4.5	female	144
4.5	male	144
5	male	145
5	female	145
5	male	145
5	female	145
5	female	145
5	male	145
5	male	145
5	female	145
5	female	145
5	male	145
4	male	146
4	female	146
4	male	146
4	female	146
4	female	146
4	male	146
4	male	146
4	female	146
4	female	146
4	male	146
4	male	147
4	female	147
4	male	147
4	female	147
4	female	147
4	male	147
4	male	147
4	female	147
4	female	147
4	male	147
2	male	148
3	female	148
2	male	148
5	female	148
4	female	148
6	male	148
4	male	148
4	female	148
3	female	148
5	male	148
4.5	male	149
6.5	female	149
5	male	149
3.5	female	149
4	female	149
6	male	149
2	male	149
4	female	149
5.5	female	149
5.5	male	149
4	male	150
4	female	150
4	male	150
4	female	150
4	female	150
4	male	150
4	male	150
4	female	150
4	female	150
4	male	150
3.5	male	151
3.5	female	151
4	male	151
3.5	female	151
3	female	151
3	male	151
3.5	male	151
3	female	151
4	female	151
3.5	male	151
4	male	152
4	female	152
4	male	152
4	female	152
4	female	152
4	male	152
4	male	152
4	female	152
4	female	152
4	male	152
1	male	153
4	female	153
7	male	153
5	female	153
6	female	153
4	male	153
5	male	153
3	female	153
2	female	153
3	male	153
5	male	154
5	female	154
5	male	154
5	female	154
5	female	154
5	male	154
5	male	154
5	female	154
5	female	154
5	male	154
4	male	155
4	female	155
4	male	155
4	female	155
4	female	155
4	male	155
4	male	155
4	female	155
4	female	155
4	male	155
5.5	male	156
3.5	female	156
3.5	male	156
4.5	female	156
2.5	female	156
4	male	156
4	male	156
5	female	156
6	female	156
5	male	156
6	male	157
6	female	157
6	male	157
6	female	157
6	female	157
6	male	157
6	male	157
6	female	157
6	female	157
6	male	157
4	male	158
4	female	158
4	male	158
4	female	158
4	female	158
4	male	158
4	male	158
4	female	158
4	female	158
4	male	158
5	male	159
4.5	female	159
3.5	male	159
4.5	female	159
4.5	female	159
4.5	male	159
4.5	male	159
4.5	female	159
5	female	159
4.5	male	159
5	male	160
5	female	160
5	male	160
5	female	160
5	female	160
5	male	160
5	male	160
5	female	160
5	female	160
5	male	160
1	male	161
2	female	161
3	male	161
3	female	161
4	female	161
4	male	161
5	male	161
5	female	161
4	female	161
5	male	161
5	male	162
4.5	female	162
4.5	male	162
4.5	female	162
4.5	female	162
4.5	male	162
4.5	male	162
4.5	female	162
5	female	162
4	male	162
4.5	male	163
4.5	female	163
4	male	163
4	female	163
4.5	female	163
4	male	163
3	male	163
4.5	female	163
4.5	female	163
5	male	163
6	male	164
6	female	164
6	male	164
6	female	164
6	female	164
6	male	164
6	male	164
6	female	164
6	female	164
6	male	164
4	male	165
4	female	165
4	male	165
4	female	165
4	female	165
4	male	165
4	male	165
4	female	165
4	female	165
4	male	165
4	male	166
4	female	166
4	male	166
4	female	166
4	female	166
4	male	166
4	male	166
4	female	166
4	female	166
4	male	166
4	male	167
4	female	167
4	male	167
4	female	167
4	female	167
4	male	167
4	male	167
4	female	167
4	female	167
4	male	167
4	male	168
4	female	168
4	male	168
4	female	168
4	female	168
4	male	168
4	male	168
4	female	168
4	female	168
4	male	168
5	male	169
5	female	169
5	male	169
5	female	169
5	female	169
5	male	169
5	male	169
5	female	169
5	female	169
5	male	169
4	male	170
4	female	170
4	male	170
4	female	170
4	female	170
4	male	170
4	male	170
4	female	170
4	female	170
4	male	170
4	male	171
4	female	171
4	male	171
4	female	171
4	female	171
4	male	171
4	male	171
4	female	171
4	female	171
4	male	171
7	male	172
7	female	172
6	male	172
7	female	172
6.5	female	172
7	male	172
7	male	172
7	female	172
7	female	172
7	male	172
5	male	173
5	female	173
5	male	173
5	female	173
5	female	173
5	male	173
5	male	173
5	female	173
5	female	173
5	male	173
3	male	174
7	female	174
6	male	174
6	female	174
5	female	174
4	male	174
2	male	174
3	female	174
1	female	174
7	male	174
2	male	175
4.5	female	175
3.5	male	175
3.5	female	175
4.5	female	175
4.5	male	175
5	male	175
2.5	female	175
5.5	female	175
6	male	175
5	male	176
5	female	176
5	male	176
5	female	176
5	female	176
5	male	176
5.5	male	176
5	female	176
5	female	176
5	male	176
6	male	177
6	female	177
6.5	male	177
6	female	177
6	female	177
6	male	177
6	male	177
6	female	177
6	female	177
6	male	177
5	male	178
4.5	female	178
5	male	178
5	female	178
5	female	178
5	male	178
5	male	178
5	female	178
5	female	178
5	male	178
1	male	179
2.5	female	179
6.5	male	179
4.5	female	179
3.5	female	179
6	male	179
3.5	male	179
3.5	female	179
5	female	179
2	male	179
5.5	male	180
2.5	female	180
4.5	male	180
6.5	female	180
6.5	female	180
5	male	180
2.5	male	180
4	female	180
3.5	female	180
6.5	male	180
2	male	181
3.5	female	181
3	male	181
1.5	female	181
1	female	181
2.5	male	181
3.5	male	181
3	female	181
3	female	181
3	male	181
5	male	182
4	female	182
5	male	182
4	female	182
5	female	182
4	male	182
5	male	182
5	female	182
5	female	182
5	male	182
5.5	male	183
6	female	183
6	male	183
6	female	183
5	female	183
5	male	183
5.5	male	183
5	female	183
5	female	183
5	male	183
3	male	184
5.5	female	184
1.5	male	184
5	female	184
2	female	184
5	male	184
5	male	184
4.5	female	184
3.5	female	184
6.5	male	184
4	male	185
3.5	female	185
4	male	185
4	female	185
4	female	185
4	male	185
4	male	185
4	female	185
4	female	185
4	male	185
3	male	186
3	female	186
5	male	186
2	female	186
4	female	186
4	male	186
3	male	186
5	female	186
5	female	186
4.5	male	186
2	male	187
1	female	187
5	male	187
6	female	187
2	female	187
3	male	187
4	male	187
3	female	187
7	female	187
6	male	187
7	male	188
7	female	188
6.5	male	188
5	female	188
7	female	188
7	male	188
5	male	188
7	female	188
7	female	188
7	male	188
3	male	189
4	female	189
3	male	189
3	female	189
2	female	189
2	male	189
5	male	189
2	female	189
5.5	female	189
4.5	male	189
4	male	190
4	female	190
4.5	male	190
3.5	female	190
4.5	female	190
3.5	male	190
3	male	190
3.5	female	190
3	female	190
4.5	male	190
1	male	191
2	female	191
2	male	191
3	female	191
4	female	191
6	male	191
5	male	191
6	female	191
4	female	191
6	male	191
1.5	male	192
4.5	female	192
6.5	male	192
1	female	192
3	female	192
3	male	192
4.5	male	192
4	female	192
4.5	female	192
3	male	192
4	male	193
4	female	193
4	male	193
4	female	193
4	female	193
4	male	193
4	male	193
4	female	193
3	female	193
4	male	193
2.5	male	194
5.5	female	194
6	male	194
3.5	female	194
4	female	194
5	male	194
2.5	male	194
2.5	female	194
5	female	194
5.5	male	194
5	male	195
5	female	195
5.5	male	195
6	female	195
5	female	195
5	male	195
5.5	male	195
5	female	195
4.5	female	195
5.5	male	195
6	male	196
1	female	196
4	male	196
7	female	196
5	female	196
2	male	196
4	male	196
2	female	196
3	female	196
3	male	196
3	male	197
5	female	197
5	male	197
2	female	197
4	female	197
4	male	197
5	male	197
4	female	197
4	female	197
3	male	197
4	male	198
3.5	female	198
3.5	male	198
4	female	198
3	female	198
3.5	male	198
4	male	198
3	female	198
4	female	198
4.5	male	198
5	male	199
7	female	199
2	male	199
5	female	199
4	female	199
7	male	199
6	male	199
4	female	199
3	female	199
4	male	199
4	male	200
4	female	200
5	male	200
4	female	200
4	female	200
4	male	200
4	male	200
4	female	200
4	female	200
4	male	200
5	male	201
5	female	201
6	male	201
7	female	201
5	female	201
6	male	201
5	male	201
5	female	201
4	female	201
5	male	201
4.5	male	202
4.5	female	202
4.5	male	202
4	female	202
3.5	female	202
4	male	202
4.5	male	202
4.5	female	202
4.5	female	202
4.5	male	202
5	male	203
4.5	female	203
5.5	male	203
3.5	female	203
6.5	female	203
3.5	male	203
4.5	male	203
3.5	female	203
2.5	female	203
2.5	male	203
5	male	204
5	female	204
5	male	204
4.5	female	204
5	female	204
5	male	204
5	male	204
4	female	204
5	female	204
5	male	204
2.5	male	205
4.5	female	205
4	male	205
2.5	female	205
3.5	female	205
3.5	male	205
5	male	205
3.5	female	205
4	female	205
4	male	205
5	male	206
5	female	206
5.5	male	206
5	female	206
5	female	206
5	male	206
5	male	206
5	female	206
5	female	206
5	male	206
5.5	male	207
5.5	female	207
5.5	male	207
5	female	207
6	female	207
5.5	male	207
5.5	male	207
5	female	207
5.5	female	207
6	male	207
4	male	208
4	female	208
4	male	208
4	female	208
3	female	208
4	male	208
4	male	208
4	female	208
4	female	208
4	male	208
4.5	male	209
4	female	209
4	male	209
5	female	209
4	female	209
5	male	209
5	male	209
4	female	209
4	female	209
5	male	209
3.5	male	210
5	female	210
3	male	210
2	female	210
3	female	210
4	male	210
2	male	210
2	female	210
3	female	210
4	male	210
3	male	211
6	female	211
5	male	211
4	female	211
3	female	211
5	male	211
5	male	211
4	female	211
4	female	211
4.5	male	211
6	male	212
6	female	212
6	male	212
6	female	212
6	female	212
6.5	male	212
7	male	212
7	female	212
5.5	female	212
7	male	212
6.5	male	213
6.5	female	213
5.5	male	213
4.5	female	213
3.5	female	213
2.5	male	213
4.5	male	213
3.5	female	213
3	female	213
3.5	male	213
5	male	214
5	female	214
5	male	214
4.5	female	214
5	female	214
5	male	214
5	male	214
5	female	214
4	female	214
5	male	214
4	male	215
4	female	215
4	male	215
4	female	215
3.5	female	215
4.5	male	215
4.5	male	215
4.5	female	215
3.5	female	215
4.5	male	215
6	male	216
5	female	216
6	male	216
5	female	216
5	female	216
5	male	216
5	male	216
5	female	216
6	female	216
5.5	male	216
5	male	217
4	female	217
4	male	217
5	female	217
5	female	217
5	male	217
4.5	male	217
4	female	217
